ID,dataset,strain,Temperature,Medium,Area_day4-day0,Grayness_day4-day0
8125_rt_poor_d4_05,8125_RT_Poor,8125,RT,Poor,9.79626049,0.147318092
8125_rt_rich_d4_01,8125_RT_Rich,8125,RT,Rich,15.51597441,0.420830419
8125_rt_rich_d4_02,8125_RT_Rich,8125,RT,Rich,17.22458812,0.625032666
8125_rt_rich_d4_03,8125_RT_Rich,8125,RT,Rich,20.94343816,0.606338423
8125_rt_rich_d4_04,8125_RT_Rich,8125,RT,Rich,26.7441305,0.549618387
8125_rt_rich_d4_05,8125_RT_Rich,8125,RT,Rich,31.31279763,0.465070322
8125_rt_rich_d4_06,8125_RT_Rich,8125,RT,Rich,31.63803409,0.553215831
8152_37_poor_d4_01,8152_37_Poor,8152,37,Poor,30.59016097,0.145850275
8152_37_poor_d4_02,8152_37_Poor,8152,37,Poor,29.45674345,0.234599341
8152_37_poor_d4_03,8152_37_Poor,8152,37,Poor,26.88372007,0.250305075
8152_37_poor_d4_04,8152_37_Poor,8152,37,Poor,31.00398421,0.230431456
8152_37_poor_d4_05,8152_37_Poor,8152,37,Poor,28.26596713,0.170292495
8152_37_rich_d4_01,8152_37_Rich,8152,37,Rich,58.87834367,0.479627378
8152_37_rich_d4_02,8152_37_Rich,8152,37,Rich,62.23443388,0.515231315
8152_37_rich_d4_03,8152_37_Rich,8152,37,Rich,67.5906761,0.540466299
8152_37_rich_d4_04,8152_37_Rich,8152,37,Rich,50.22661293,0.555942199
8152_37_rich_d4_05,8152_37_Rich,8152,37,Rich,61.36825965,0.438771098
8152_rt_poor_d4_01,8152_RT_Poor,8152,RT,Poor,13.36938972,0.178708416
8152_rt_poor_d4_02,8152_RT_Poor,8152,RT,Poor,18.20453217,0.204754064
8152_rt_poor_d4_03,8152_RT_Poor,8152,RT,Poor,16.42413411,0.185866094
8152_rt_poor_d4_04,8152_RT_Poor,8152,RT,Poor,23.41451778,0.277967594
8152_rt_poor_d4_05,8152_RT_Poor,8152,RT,Poor,19.32139055,0.215680532
8152_rt_rich_d4_01,8152_RT_Rich,8152,RT,Rich,25.45484279,0.568879495
8152_rt_rich_d4_02,8152_RT_Rich,8152,RT,Rich,25.16693271,0.631664949
8152_rt_rich_d4_03,8152_RT_Rich,8152,RT,Rich,25.13314201,0.551883485
8152_rt_rich_d4_04,8152_RT_Rich,8152,RT,Rich,25.33466303,0.550578743
8152_rt_rich_d4_05,8152_RT_Rich,8152,RT,Rich,25.27951113,0.54986599
8172_37_poor_d4_01,8172_37_Poor,8172,37,Poor,10.44948574,0.200556861
8172_37_poor_d4_02,8172_37_Poor,8172,37,Poor,8.43093228,0.226313998
8172_37_poor_d4_03,8172_37_Poor,8172,37,Poor,10.76619808,0.194746426
8172_37_poor_d4_04,8172_37_Poor,8172,37,Poor,9.855615073,0.201514411
8172_37_poor_d4_05,8172_37_Poor,8172,37,Poor,15.64979036,0.211222043
8172_37_rich_d4_01,8172_37_Rich,8172,37,Rich,14.68289502,0.957128754
8172_37_rich_d4_02,8172_37_Rich,8172,37,Rich,9.384704319,1.065822608
8172_37_rich_d4_03,8172_37_Rich,8172,37,Rich,12.18027775,1.009396512
8172_37_rich_d4_04,8172_37_Rich,8172,37,Rich,9.122328627,1.024012071
8172_37_rich_d4_05,8172_37_Rich,8172,37,Rich,9.924967636,1.067378223
8172_rt_poor_d4_01,8172_RT_Poor,8172,RT,Poor,7.946144817,0.332014086
8172_rt_poor_d4_02,8172_RT_Poor,8172,RT,Poor,7.547698714,0.203651661
8172_rt_poor_d4_03,8172_RT_Poor,8172,RT,Poor,12.39303024,0.280022196
8172_rt_poor_d4_04,8172_RT_Poor,8172,RT,Poor,11.64632364,0.230087259
8172_rt_poor_d4_05,8172_RT_Poor,8172,RT,Poor,12.80654055,0.3498515
8172_rt_rich_d4_01,8172_RT_Rich,8172,RT,Rich,7.948545939,1.005791954
8172_rt_rich_d4_02,8172_RT_Rich,8172,RT,Rich,8.375237829,1.011594104
8172_rt_rich_d4_03,8172_RT_Rich,8172,RT,Rich,8.434232686,1.054114482
8172_rt_rich_d4_04,8172_RT_Rich,8172,RT,Rich,11.25107358,1.020325166
8172_rt_rich_d4_05,8172_RT_Rich,8172,RT,Rich,11.33662988,1.059638554
8191_37_poor_d4_01,8191_37_Poor,8191,37,Poor,26.9882671,0.286343359
8191_37_poor_d4_02,8191_37_Poor,8191,37,Poor,25.32651479,0.297999822
8191_37_poor_d4_03,8191_37_Poor,8191,37,Poor,36.95263329,0.300083172
8191_37_poor_d4_04,8191_37_Poor,8191,37,Poor,36.19116271,0.383577498
8191_37_poor_d4_05,8191_37_Poor,8191,37,Poor,17.92873967,0.302102216
8191_37_rich_d4_01,8191_37_Rich,8191,37,Rich,53.60535123,0.750471287
8191_37_rich_d4_02,8191_37_Rich,8191,37,Rich,49.29081062,0.95442659
8191_37_rich_d4_03,8191_37_Rich,8191,37,Rich,47.20993503,0.951503334
8191_37_rich_d4_04,8191_37_Rich,8191,37,Rich,22.28299658,0.951601393
8191_37_rich_d4_05,8191_37_Rich,8191,37,Rich,35.57719566,0.821211262
8191_37_rich_d4_06,8191_37_Rich,8191,37,Rich,37.29532051,0.793349815
8191_rt_poor_d4_01,8191_RT_Poor,8191,RT,Poor,14.60931762,0.255020848
8191_rt_poor_d4_02,8191_RT_Poor,8191,RT,Poor,15.33439485,0.259401864
8191_rt_poor_d4_03,8191_RT_Poor,8191,RT,Poor,15.52445271,0.27077748
8191_rt_poor_d4_04,8191_RT_Poor,8191,RT,Poor,16.91283885,0.311348987
8191_rt_poor_d4_05,8191_RT_Poor,8191,RT,Poor,16.74097645,0.269845061
8191_rt_rich_d4_01,8191_RT_Rich,8191,RT,Rich,38.40990612,0.835869735
8191_rt_rich_d4_02,8191_RT_Rich,8191,RT,Rich,34.59557413,1.030654565
8191_rt_rich_d4_03,8191_RT_Rich,8191,RT,Rich,34.53049708,0.832531481
8191_rt_rich_d4_04,8191_RT_Rich,8191,RT,Rich,34.13014079,0.971399397
8191_rt_rich_d4_05,8191_RT_Rich,8191,RT,Rich,31.63772585,1.066831632
8192_37_poor_d4_01,8192_37_Poor,8192,37,Poor,12.29266796,0.270933115
8192_37_poor_d4_02,8192_37_Poor,8192,37,Poor,13.23698362,0.343755092
8192_37_poor_d4_03,8192_37_Poor,8192,37,Poor,7.144155891,0.335609517
8192_37_poor_d4_04,8192_37_Poor,8192,37,Poor,10.45986045,0.215652016
8192_37_poor_d4_05,8192_37_Poor,8192,37,Poor,11.37791571,0.259461349
8192_37_rich_d4_01,8192_37_Rich,8192,37,Rich,8.885251263,0.97059532
8192_37_rich_d4_02,8192_37_Rich,8192,37,Rich,3.293254039,1.087153382
8192_37_rich_d4_03,8192_37_Rich,8192,37,Rich,5.654502732,1.104600044
8192_37_rich_d4_04,8192_37_Rich,8192,37,Rich,2.652694611,1.086070616
8192_37_rich_d4_05,8192_37_Rich,8192,37,Rich,3.001815298,1.133566128
8192_rt_poor_d4_01,8192_RT_Poor,8192,RT,Poor,15.35474384,0.261198136
8192_rt_poor_d4_02,8192_RT_Poor,8192,RT,Poor,16.47927782,0.196950712
8192_rt_poor_d4_03,8192_RT_Poor,8192,RT,Poor,15.22098027,0.437816809
8192_rt_poor_d4_04,8192_RT_Poor,8192,RT,Poor,15.60121301,0.345046009
8192_rt_poor_d4_05,8192_RT_Poor,8192,RT,Poor,17.17923027,0.461964094
8192_rt_rich_d4_01,8192_RT_Rich,8192,RT,Rich,4.253221083,1.079939248
8192_rt_rich_d4_02,8192_RT_Rich,8192,RT,Rich,4.47896296,1.148082062
8192_rt_rich_d4_03,8192_RT_Rich,8192,RT,Rich,3.440049466,1.084039202
8192_rt_rich_d4_04,8192_RT_Rich,8192,RT,Rich,3.87224009,1.074681182
8192_rt_rich_d4_05,8192_RT_Rich,8192,RT,Rich,3.642889965,1.159502003
